ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,TX,U.S. House,10,Mike Siegel,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483891,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483891
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MO,U.S. House,4,Lindsey Simmons,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483892,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483892
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NJ,U.S. House,8,Albio Sires,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483893,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483893
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MI,U.S. House,8,Elissa Slotkin,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483894,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483894
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NM,U.S. House,2,Xochitl Torres Small,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483895,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483895
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,WA,U.S. House,9,Adam Smith,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483896,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483896
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,25,Christy Smith,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483897,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483897
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,FL,U.S. House,9,Darren Soto,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483898,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483898
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,VA,U.S. House,7,Abigail Spanberger,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483899,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483899
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,14,Jackie Speier,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483900,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483900
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,AZ,U.S. House,9,Greg Stanton,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483901,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483901
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MI,U.S. House,11,Haley Stevens,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483902,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483902
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NY,U.S. House,3,Tom Suozzi,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483903,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483903
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,15,Eric Swalwell,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483904,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483904
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,WV,U.S. Senate,,Paula Jean Swearengin,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483905,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483905
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,41,Mark Takano,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483906,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483906
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NC,U.S. House,3,Allen Thomas,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483907,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483907
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MS,U.S. House,2,Bennie G Thompson,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483908,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483908
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,5,Mike Thompson,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483909,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483909
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,OH,U.S. House,10,Desiree Tims,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483910,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483910
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NV,U.S. House,1,Dina Titus,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483911,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483911
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MI,U.S. House,13,Rashida Tlaib,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483912,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483912
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NY,U.S. House,20,Paul Tonko,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483913,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483913
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,35,Norma Torres,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483914,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483914
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,MD,U.S. House,6,David Trone,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483915,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483915
SIERRA CLUB INDEPENDENT ACTION_0,Federal Office,All,President,,Donald Trump,R,934365.00,0.00,934365.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483916,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483916
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,NJ,U.S. House,2,Jeff Van Drew,R,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483917,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483917
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,CA,U.S. House,51,Juan Vargas,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483918,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483918
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,TX,U.S. House,33,Marc Veasey,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483919,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483919
SIERRA CLUB INDEPENDENT ACTION_10,Federal Office,TX,U.S. House,34,Filemon Vela,D,10.00,10.00,0.00,SIERRA CLUB INDEPENDENT ACTION,Super PAC,C00483920,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00483920
