ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
LCV VICTORY FUND_6500892,Federal Office,All,President,,Joe Biden,D,6500892.00,6500892.00,0.00,LCV VICTORY FUND,Super PAC,C00486845,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486845
LCV VICTORY FUND_0,Federal Office,CO,U.S. House,3,Lauren Boebert,R,508673.00,0.00,508673.00,LCV VICTORY FUND,Super PAC,C00486846,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486846
LCV VICTORY FUND_926022,Federal Office,MT,U.S. Senate,,Steve Bullock,D,926022.00,926022.00,0.00,LCV VICTORY FUND,Super PAC,C00486847,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486847
LCV VICTORY FUND_45,Federal Office,TX,U.S. House,28,Jessica Cisneros,D,45.00,45.00,0.00,LCV VICTORY FUND,Super PAC,C00486848,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486848
LCV VICTORY FUND_0,Federal Office,ME,U.S. Senate,,Susan M Collins,R,885261.00,0.00,885261.00,LCV VICTORY FUND,Super PAC,C00486849,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486849
LCV VICTORY FUND_499726,Federal Office,NC,U.S. Senate,,Cal Cunningham,D,499726.00,499726.00,0.00,LCV VICTORY FUND,Super PAC,C00486850,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486850
LCV VICTORY FUND_36601,Federal Office,SC,U.S. House,1,Joe Cunningham,D,36601.00,36601.00,0.00,LCV VICTORY FUND,Super PAC,C00486851,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486851
LCV VICTORY FUND_0,Federal Office,MT,U.S. Senate,,Steven Daines,R,2995816.00,0.00,2995816.00,LCV VICTORY FUND,Super PAC,C00486852,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486852
LCV VICTORY FUND_0,Federal Office,IA,U.S. Senate,,Joni Ernst,R,2696351.00,0.00,2696351.00,LCV VICTORY FUND,Super PAC,C00486853,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486853
LCV VICTORY FUND_0,Federal Office,VA,U.S. House,7,Nick Freitas,R,288395.00,0.00,288395.00,LCV VICTORY FUND,Super PAC,C00486854,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486854
LCV VICTORY FUND_0,Federal Office,NY,U.S. House,2,Andrew Garbarino,R,103503.00,0.00,103503.00,LCV VICTORY FUND,Super PAC,C00486855,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486855
LCV VICTORY FUND_0,Federal Office,CO,U.S. Senate,,Cory Gardner,R,111.00,0.00,111.00,LCV VICTORY FUND,Super PAC,C00486856,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486856
LCV VICTORY FUND_458247,Federal Office,ME,U.S. Senate,,Sara Gideon,D,458247.00,458247.00,0.00,LCV VICTORY FUND,Super PAC,C00486857,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486857
LCV VICTORY FUND_0,Federal Office,FL,U.S. House,26,Carlos Gimenez,R,757401.00,0.00,757401.00,LCV VICTORY FUND,Super PAC,C00486858,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00486858
